KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin [days],P_ttv [days],P_lin_archive [days],planet 01 P_pert_archive [days],planet 03 P_pert_archive [days],planet 02 P_pert_archive [days],planet 04 P_pert_archive [days],planet 05 P_pert_archive [days],planet 06 P_pert_archive [days],planet 07 P_pert_archive [days]
3.01,3.1398647665534694,0.1023457673169972,13.24552903701624,4.887802795351004,15.347039782984174,4.887803076,,,,,,,
12.01,67.68829593693148,1.099879578070617,231.4488531878432,17.855222365367403,1208.5895754867065,17.855221681,,,,,,,
22.01,2.67424057475674,0.1880012142546271,7.841269644638373,7.891448106039634,21.10363071875842,7.891448838,,,,,,,
41.02,2.477811717346824,20.30122433968429,77.82040843618597,6.88707356194738,17.064871570022746,6.88707073,12.81590421,35.3331932,,,,,
41.03,2.2257345921289917,40.595278767086846,54.3929977078422,35.331441741147444,78.63841207306203,35.3331932,12.81590421,,6.88707073,,,,
42.01,53.68706293706294,15.350312624568168,1332.6693441297532,17.833625689357472,957.4349847805572,17.83367834,,,,,,,
46.01,4.099956926578428,1.5955739976608816,25.442042485634943,3.48768867426334,14.299373337795114,3.487688776,,,6.02977241,,,,
63.01,3.989120188531029,0.3627496112599895,39.52380341852415,9.434152843732274,37.63396957061983,9.43414171,,,,,,,
70.01,6.468597418232895,1.2089920214097778,7.254679248908047,10.85409996677224,70.21080302230466,10.854095934,,77.6114427,3.696121272,6.09855603,19.5776073,,
70.02,3.627733416690623,2.641847537582789,20.882005150300984,3.696118533431543,13.408532715779144,3.696121272,10.854095934,77.6114427,,6.09855603,19.5776073,,
70.03,4.711864406779661,6.151134986659186,17.440622264421684,77.61174688253419,365.69602768380514,77.6114427,10.854095934,,3.696121272,6.09855603,19.5776073,,
70.05,3.5941943477491303,43.12553004637091,56.92111009641813,19.577649870309443,70.36587850607769,19.5776073,10.854095934,77.6114427,3.696121272,6.09855603,,,
72.01,17.901688620011356,1.371332374022883,10.021065703955855,0.8374912263340062,14.992507155822834,0.837491225,,,45.29422297,,,,
72.02,11.036075036075037,4.633598611650513,10.885836670505554,45.29424484969789,499.8706848636211,45.29422297,0.837491225,,,,,,
75.01,19.066666666666663,23.46054192173945,420.6618114880159,105.88176837921664,2018.8123837637308,105.8817667,,,,,,,
82.01,7.441280606393057,1.3766342277701626,11.497235826196928,16.14568834107689,120.14459752932196,16.145671932,,27.4536146,10.31174786,7.07136119,5.28691996,,
82.02,3.388200297471492,4.364055766431981,15.14955777785346,10.311734863652903,34.938223132475926,10.31174786,16.145671932,27.4536146,,7.07136119,5.28691996,,
